"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"11039";"82";"102";"158";"146";"1";"29";"26";"375";"60";"135";"37";"630"
"0015644 HOSPITAL ERASTO GAERTNER";"18325";"62";"32";"22";"23";"0";"2";"6";"314";"105";"148";"205";"911"
"0015679 LABORATORIO ANALISA";"7445";"37";"4";"3";"5";"0";"0";"0";"25";"4";"8";"1";"41"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"8587";"22";"3";"2";"97";"0";"9";"0";"91";"62";"69";"56";"317"
"0016055 LABORCENTRO";"4122";"4";"0";"0";"2";"0";"0";"0";"31";"18";"10";"3";"62"
"0016136 PATOLOGISTAS ASSOCIADOS";"24413";"20";"6";"0";"0";"0";"0";"0";"318";"65";"100";"26";"517"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"10026";"7";"2";"1";"1";"0";"0";"0";"164";"33";"50";"61";"323"
"0016357 LABORATORIO ANNALAB";"21631";"15";"1";"5";"4";"0";"0";"0";"211";"36";"54";"32";"353"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"23223";"19";"1";"0";"0";"0";"0";"1";"155";"9";"39";"25";"230"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"2124";"9";"9";"4";"0";"0";"0";"1";"141";"60";"48";"32";"332"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"8849";"5";"0";"0";"0";"0";"0";"44";"5";"3";"11";"1";"22"
"2439093 L B LABORATORIO";"14124";"14";"0";"1";"1";"0";"0";"1";"141";"51";"116";"63";"374"
"2439425 LABORATORIO SAO FRANCISCO";"15053";"116";"35";"75";"43";"0";"20";"130";"202";"41";"68";"24";"347"
"2567881 LABORATORIO DR MAURICIO";"8841";"9";"2";"1";"4";"0";"2";"1";"329";"17";"63";"22";"447"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"31568";"7";"2";"2";"4";"0";"0";"2";"54";"45";"174";"116";"414"
"2577682 MICROPAR";"13545";"10";"7";"3";"0";"0";"0";"0";"65";"20";"29";"51";"179"
"2578476 CLINILAB";"12519";"7";"8";"0";"3";"0";"0";"0";"48";"38";"4";"27";"131"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"2914";"7";"0";"1";"5";"0";"0";"0";"89";"11";"67";"2";"169"
"2591111 INCELL";"12474";"17";"0";"0";"5";"1";"0";"0";"21";"10";"32";"29";"93"
"2594021 INSTITUTO INTERNACIONAL DE PATOLOGIA";"164";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
