"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"20";"10605";"414";"11039"
"0015644 HOSPITAL ERASTO GAERTNER";"0";"18199";"126";"18325"
"0015679 LABORATORIO ANALISA";"6";"7391";"48";"7445"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"139";"8317";"131";"8587"
"0016055 LABORCENTRO";"1";"4115";"6";"4122"
"0016136 PATOLOGISTAS ASSOCIADOS";"13";"24374";"26";"24413"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"0";"10017";"9";"10026"
"0016357 LABORATORIO ANNALAB";"0";"21606";"25";"21631"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"0";"23202";"21";"23223"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"0";"2102";"22";"2124"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"2";"8798";"49";"8849"
"2439093 L B LABORATORIO";"2";"14106";"16";"14124"
"2439425 LABORATORIO SAO FRANCISCO";"5";"14799";"249";"15053"
"2567881 LABORATORIO DR MAURICIO";"1";"8825";"15";"8841"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"5";"31546";"17";"31568"
"2577682 MICROPAR";"0";"13525";"20";"13545"
"2578476 CLINILAB";"0";"12501";"18";"12519"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"0";"2901";"13";"2914"
"2591111 INCELL";"1";"12450";"23";"12474"
"2594021 INSTITUTO INTERNACIONAL DE PATOLOGIA";"0";"164";"0";"164"
"2594439 PREVENCAO DIAGNOSE";"0";"7217";"8";"7225"
"2639637 DIAGNOSE";"3";"28123";"38";"28164"
"2639661 CITOPAR";"0";"47070";"82";"47152"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"0";"15609";"88";"15697"
"2729822 LABORMED ROLANDIA";"13";"4630";"14";"4657"
"2731940 CIALAB";"0";"9935";"24";"9959"
"2734230 LABORATORIO SANTA TEREZINHA";"27";"25183";"265";"25475"
"2736543 ANATOM";"0";"388";"0";"388"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"0";"130";"9";"139"
"2738589 LABORATORIO APC CASCAVEL";"13";"6765";"8";"6786"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"0";"142";"1";"143"
"2754053 LABORATORIO PASTEUR LTDA";"6";"1518";"5";"1529"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"0";"1017";"4";"1021"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"10";"19430";"3";"19443"
"2810387 LABORATORIO APC DE TOLEDO";"1";"1824";"3";"1828"
"3087751 LABORATORIO MASTER";"1";"18205";"27";"18233"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"2";"5515";"3";"5520"
"3155986 LABORATORIO SAO MARCOS";"15";"8226";"4";"8245"
"3293203 LABORATORIO SAO CAMILO";"0";"8488";"12";"8500"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"1";"12568";"18";"12587"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"0";"16244";"5";"16249"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"0";"18684";"93";"18777"
"5205905 PREVENCAO E DIAGNOSE";"0";"5055";"3";"5058"
"5662648 LABBOS";"3";"9694";"45";"9742"
"5664675 PHD";"0";"14849";"11";"14860"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"6";"12456";"9";"12471"
"5991080 LABORATORIO VITA LAB";"17";"19625";"96";"19738"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"4";"14151";"43";"14198"
"6439772 LABORATORIO PREVENCAO E DIAGNOSE";"0";"1726";"10";"1736"
"6694349 PREV IN CITO";"16";"8218";"96";"8330"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"0";"10371";"7";"10378"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"2";"3516";"11";"3529"
"6867618 LABCELL";"88";"27183";"220";"27491"
"6922392 CITO";"1";"20728";"132";"20861"
"7113358 LABORATORIO LOGOS";"5";"18800";"32";"18837"
"7256531 CITOMED";"35";"1720";"30";"1785"
"Total";"464";"674546";"2707";"677717"
