"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0019445 CEPON";"262";"1";"0";"0";"0";"0";"0";"3";"31";"12";"16";"12";"81"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"8322";"4";"4";"0";"0";"0";"0";"0";"70";"4";"34";"8";"117"
"2303892 HOSPITAL SAO FRANCISCO";"7210";"4";"5";"5";"9";"5";"3";"0";"18";"6";"4";"10";"39"
"2306077 HE INSTITUTO DE PATOLOGIA LTDA";"14686";"6";"0";"0";"1";"0";"0";"0";"194";"67";"105";"45";"423"
"2336545 CIPAC";"12101";"4";"1";"0";"4";"5";"0";"0";"98";"80";"92";"44";"326"
"2379384 LABORATORIO LUZ";"9353";"7";"2";"2";"45";"2";"0";"0";"107";"12";"34";"3";"157"
"2491400 DIPREVER";"16108";"9";"8";"0";"42";"0";"0";"42";"328";"146";"96";"66";"643"
"2491478 LABORATORIO SANTE";"1786";"2";"1";"4";"2";"0";"2";"0";"17";"0";"10";"0";"29"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"1939";"3";"2";"9";"16";"0";"0";"0";"30";"17";"16";"7";"97"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"5864";"0";"0";"0";"3";"0";"0";"1";"72";"8";"23";"2";"110"
"2521504 CEDAP";"26457";"0";"0";"0";"137";"0";"0";"0";"760";"346";"259";"134";"1539"
"2521849 CAC LAB";"8875";"16";"4";"3";"31";"0";"1";"0";"119";"8";"21";"7";"155"
"2522276 REDE FEMININA";"4944";"0";"2";"0";"5";"0";"0";"0";"16";"10";"6";"7";"42"
"2522381 CITOLABOR";"8867";"41";"7";"1";"8";"1";"4";"1";"41";"23";"25";"18";"119"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"24390";"61";"70";"38";"108";"0";"2";"0";"81";"28";"196";"142";"506"
"2550911 LABORATORIO SAO LUCAS";"14857";"2";"0";"0";"6";"0";"0";"0";"92";"22";"24";"8";"146"
"2557819 IPA";"40319";"42";"11";"78";"367";"7";"30";"5";"1208";"172";"193";"114";"1912"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"2716";"4";"1";"1";"24";"0";"0";"0";"17";"15";"7";"11";"59"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"14327";"8";"10";"3";"23";"0";"0";"12";"333";"15";"70";"12";"462"
"2609800 LABORATORIO MC LABOR";"10647";"4";"3";"10";"12";"1";"1";"0";"181";"13";"48";"31";"282"
"2641208 LAPS";"1285";"0";"3";"0";"0";"0";"0";"0";"2";"5";"3";"3";"19"
"2642549 ESPACO VITALE VITALAB";"3750";"2";"0";"0";"15";"0";"0";"0";"147";"27";"52";"28";"261"
"2663627 LABORATORIO CONTINENTE";"9374";"36";"2";"0";"2";"0";"0";"0";"37";"3";"48";"19";"108"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"4705";"0";"0";"0";"6";"0";"1";"0";"86";"10";"61";"18";"232"
"2691426 LABORATORIO EXAME";"2681";"0";"1";"1";"0";"0";"0";"0";"63";"6";"16";"1";"88"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"10203";"0";"3";"0";"0";"0";"0";"0";"53";"11";"44";"10";"118"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"20888";"19";"22";"6";"83";"3";"1";"0";"112";"50";"38";"86";"319"
"2778769 ANATOMIA PATOLOGICA LTDA";"628";"0";"1";"4";"0";"0";"0";"0";"6";"2";"1";"1";"11"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3052850 PHD";"1434";"0";"0";"0";"3";"0";"0";"0";"6";"1";"2";"8";"18"
"3157245 HOSPITAL UNIVERSITARIO";"1430";"4";"3";"1";"0";"0";"0";"4";"33";"9";"20";"15";"98"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"1580";"1";"2";"0";"1";"0";"0";"0";"30";"3";"5";"6";"47"
"3409937 BIOCITO";"8177";"11";"17";"23";"355";"40";"0";"1";"57";"2";"14";"0";"74"
"3499472 LABORATORIO PREVENT";"4181";"2";"0";"0";"0";"0";"0";"0";"14";"3";"2";"1";"24"
