"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"11098";"111";"122";"237";"57";"6";"20";"51";"395";"64";"148";"8";"646"
"0015644 HOSPITAL ERASTO GAERTNER";"23465";"75";"14";"13";"3";"0";"2";"1";"440";"184";"370";"578";"1773"
"0015679 LABORATORIO ANALISA";"6418";"13";"7";"8";"3";"0";"0";"0";"23";"5";"3";"5";"44"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"6148";"50";"6";"19";"108";"0";"19";"50";"60";"21";"52";"42";"187"
"0016136 PATOLOGISTAS ASSOCIADOS";"25061";"14";"4";"3";"9";"0";"0";"0";"694";"109";"150";"17";"977"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"5976";"3";"0";"1";"0";"0";"0";"0";"74";"13";"20";"36";"151"
"0016357 LABORATORIO ANNALAB";"22463";"11";"6";"1";"1";"0";"1";"1";"137";"26";"29";"37";"255"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"23526";"27";"5";"7";"9";"0";"0";"5";"131";"13";"26";"15";"187"
"0017876 CIS CONIMS";"196";"0";"0";"0";"0";"0";"0";"0";"15";"1";"0";"0";"16"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"1709";"7";"6";"1";"0";"1";"0";"3";"133";"44";"26";"28";"254"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"1403";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2439093 L B LABORATORIO";"16776";"7";"3";"1";"0";"0";"0";"22";"113";"42";"73";"66";"294"
"2439425 LABORATORIO SAO FRANCISCO";"17723";"121";"25";"50";"36";"0";"12";"121";"299";"78";"56";"55";"500"
"2567881 LABORATORIO DR MAURICIO";"8357";"20";"2";"1";"24";"0";"3";"4";"115";"45";"83";"25";"274"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"30304";"16";"11";"0";"39";"0";"0";"2";"254";"113";"70";"55";"504"
"2577682 MICROPAR";"16082";"15";"0";"0";"2";"0";"0";"0";"105";"32";"43";"31";"228"
"2578476 CLINILAB";"12092";"6";"1";"0";"4";"0";"0";"0";"53";"25";"7";"9";"106"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"3216";"2";"0";"0";"1";"0";"0";"0";"71";"15";"41";"3";"133"
"2591111 INCELL";"11951";"41";"10";"40";"87";"0";"1";"39";"24";"6";"11";"12";"55"
"2594439 PREVENCAO DIAGNOSE";"6480";"6";"0";"3";"1";"0";"0";"0";"26";"18";"34";"11";"97"
"2639637 DIAGNOSE";"30582";"26";"5";"0";"2";"0";"0";"0";"225";"48";"71";"102";"460"
"2639661 CITOPAR";"51426";"125";"23";"4";"33";"1";"1";"0";"712";"277";"104";"50";"1177"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"14325";"34";"29";"19";"1";"0";"2";"2";"69";"14";"109";"16";"225"
"2729822 LABORMED ROLANDIA";"5022";"12";"3";"9";"0";"0";"1";"3";"30";"9";"14";"7";"61"
"2731940 CIALAB";"8758";"14";"8";"5";"43";"0";"6";"3";"22";"21";"24";"8";"78"
"2734230 LABORATORIO SANTA TEREZINHA";"29970";"70";"24";"61";"48";"1";"2";"35";"275";"97";"95";"82";"570"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"116";"6";"1";"1";"0";"0";"0";"0";"6";"0";"7";"1";"14"
"2738589 LABORATORIO APC CASCAVEL";"2630";"1";"0";"3";"0";"0";"0";"2";"36";"22";"49";"39";"147"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"198";"0";"0";"0";"0";"0";"0";"0";"20";"8";"5";"12";"48"
"2754053 LABORATORIO PASTEUR LTDA";"2093";"2";"0";"0";"1";"0";"0";"1";"71";"73";"12";"5";"169"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"638";"4";"0";"1";"0";"0";"0";"0";"22";"9";"12";"7";"55"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"12844";"11";"1";"0";"0";"0";"0";"0";"35";"16";"14";"27";"97"
"3087751 LABORATORIO MASTER";"19624";"15";"7";"0";"1";"0";"0";"0";"84";"31";"8";"8";"142"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"6605";"5";"3";"5";"1";"0";"0";"0";"55";"6";"7";"3";"86"
"3155986 LABORATORIO SAO MARCOS";"6595";"1";"2";"0";"1";"0";"0";"0";"64";"26";"20";"4";"119"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"13337";"9";"1";"0";"3";"0";"0";"0";"132";"32";"43";"45";"259"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"24973";"16";"3";"2";"0";"0";"0";"2";"266";"39";"76";"71";"476"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"17703";"67";"28";"12";"67";"0";"0";"1";"69";"43";"57";"60";"246"
"5205905 PREVENCAO E DIAGNOSE";"4858";"7";"10";"3";"11";"0";"0";"4";"26";"15";"23";"11";"79"
"5662648 LABBOS";"10730";"25";"21";"26";"4";"0";"4";"0";"28";"34";"13";"16";"119"
"5664675 PHD";"13245";"11";"1";"1";"0";"0";"0";"0";"78";"31";"52";"23";"186"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"12857";"4";"0";"0";"0";"0";"0";"0";"90";"37";"83";"35";"262"
"5991080 LABORATORIO VITA LAB";"18593";"12";"18";"1";"1";"0";"0";"0";"497";"22";"340";"36";"895"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"15193";"14";"9";"22";"4";"0";"2";"1";"130";"70";"141";"86";"468"
"6694349 PREV IN CITO";"10349";"39";"22";"31";"9";"0";"6";"33";"213";"83";"120";"55";"513"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"10784";"4";"0";"0";"0";"0";"0";"0";"152";"33";"61";"44";"308"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"4543";"1";"1";"0";"1";"0";"0";"0";"144";"192";"23";"23";"397"
"6867618 LABCELL";"31499";"248";"50";"46";"98";"0";"18";"7";"699";"106";"785";"213";"1846"
"6922392 CITO";"18968";"80";"73";"57";"1";"0";"1";"9";"113";"54";"164";"34";"386"
"7113358 LABORATORIO LOGOS";"18375";"51";"30";"22";"137";"2";"3";"0";"105";"59";"43";"46";"268"
"Total";"667877";"1465";"595";"716";"851";"11";"104";"402";"7630";"2361";"3817";"2202";"16837"
