"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"0";"17951";"75";"18026"
"2225794 HISTOMED";"0";"3664";"6";"3670"
"2229307 HISTOLAB";"0";"4593";"4";"4597"
"2229730 CDC NH";"0";"2164";"36";"2200"
"2231786 CGC VIAMAO";"19";"10075";"13";"10107"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"9";"2020";"24";"2053"
"2237121 HOSPITAL SANATORIO PARTENON";"0";"275";"0";"275"
"2237962 CPEG";"32";"25472";"51";"25555"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"0";"13077";"46";"13123"
"2242001 LABORATORIO PASIN";"0";"69";"0";"69"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"1";"16113";"31";"16145"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"0";"4659";"18";"4677"
"2245078 LABORATORIO BIOS SOLEDADE";"1";"5748";"2";"5751"
"2245167 ALPHA LABORATORIOS MARAU";"2";"5552";"5";"5559"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"42";"19222";"80";"19344"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"0";"914";"1";"915"
"2249308 MEDICINA DIAGNOSTICA";"3";"10550";"22";"10575"
"2252287 HOSPITAL BRUNO BORN";"0";"331";"0";"331"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"99";"15028";"155";"15282"
"2255634 LABORATORIO SANTA CRUZ";"0";"4333";"13";"4346"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"0";"13300";"7";"13307"
"2259990 CENTRO MUNICIPAL DE SAUDE DE SERAFINA CORREA";"0";"1547";"0";"1547"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"0";"537";"2";"539"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"0";"6600";"335";"6935"
"2262835 SEG SERVICO ESPEC DE GINECOLOGIA SS";"7";"14680";"59";"14746"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"11";"800";"16";"827"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"0";"3697";"4";"3701"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"13769";"10";"13779"
"3508528 HOSPITAL UNIVERSITARIO";"0";"46759";"184";"46943"
"3513416 LABORATORIO EDELWEISS LTDA";"0";"31705";"87";"31792"
"3691314 LABORATORIO DE CITOPATOLOGIA";"0";"3053";"3";"3056"
"3771016 DIAGNOSE";"0";"7415";"10";"7425"
"3971945 LABORATORIO DIAGNOSTIKA";"0";"1887";"6";"1893"
"5210917 BIOANALISE WM";"8";"2259";"11";"2278"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"2";"51415";"110";"51527"
"5327776 CENTRO DE ESPECIALIDADES MUNICIPAL";"1";"8600";"145";"8746"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"24";"12574";"65";"12663"
"5362423 BIOCITO";"73";"5305";"53";"5431"
"5610699 LABORATORIO SANTA HELENA LTDA";"0";"4801";"4";"4805"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"9649";"1";"9650"
"5851009 ICAP";"0";"10464";"3";"10467"
"5893046 LABORATORIO NUCLEO";"4";"5535";"0";"5539"
"6123791 MEDICINA DIAGNOSTICA";"0";"8361";"2";"8363"
"6248624 LABORATORIO LABSUL";"1";"22105";"91";"22197"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"5";"5029";"4";"5038"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"82";"20311";"120";"20513"
"6534694 LABORATORIO CITO";"0";"11594";"7";"11601"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"0";"1996";"18";"2014"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"1";"3039";"106";"3146"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"148";"24750";"351";"25249"
"9379541 CITOLABOR";"3";"1680";"3";"1686"
"9473289 NOVA ERA EM CITOLOGIA";"0";"1522";"16";"1538"
"Total";"578";"518548";"2415";"521541"
