"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"29472";"63";"35";"27";"4";"0";"0";"0";"682";"173";"123";"113";"1104"
"2225794 HISTOMED";"6081";"6";"4";"2";"0";"0";"0";"1";"173";"27";"36";"2";"241"
"2229307 HISTOLAB";"9194";"4";"4";"0";"0";"0";"0";"0";"370";"10";"128";"18";"534"
"2229730 CDC NH";"2200";"3";"3";"4";"33";"0";"0";"3";"14";"10";"19";"13";"61"
"2231786 CGC VIAMAO";"10107";"1";"0";"0";"2";"0";"0";"11";"20";"8";"44";"42";"124"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"3308";"9";"4";"11";"13";"3";"0";"2";"157";"32";"24";"11";"228"
"2237121 HOSPITAL SANATORIO PARTENON";"439";"0";"0";"0";"0";"0";"0";"0";"7";"0";"7";"2";"16"
"2237962 CPEG";"47530";"37";"18";"8";"39";"0";"1";"0";"1048";"104";"385";"104";"1684"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"21868";"20";"2";"5";"0";"0";"6";"63";"291";"108";"164";"133";"732"
"2242001 LABORATORIO PASIN";"69";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"27626";"22";"3";"9";"5";"0";"9";"8";"409";"107";"210";"127";"979"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"7764";"7";"17";"16";"0";"0";"0";"0";"75";"38";"53";"34";"204"
"2245078 LABORATORIO BIOS SOLEDADE";"9637";"1";"0";"0";"2";"0";"0";"0";"49";"6";"7";"9";"75"
"2245167 ALPHA LABORATORIOS MARAU";"9414";"6";"0";"0";"2";"0";"0";"0";"112";"15";"114";"34";"298"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"32794";"42";"30";"29";"84";"0";"6";"129";"110";"66";"71";"58";"343"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"1525";"2";"2";"0";"0";"0";"0";"2";"48";"2";"13";"13";"96"
"2249308 MEDICINA DIAGNOSTICA";"16747";"4";"2";"0";"14";"0";"0";"18";"142";"57";"163";"48";"432"
"2252287 HOSPITAL BRUNO BORN";"576";"0";"0";"0";"0";"0";"0";"0";"27";"0";"10";"0";"39"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"25074";"48";"103";"33";"56";"0";"3";"0";"38";"10";"72";"13";"152"
"2255634 LABORATORIO SANTA CRUZ";"4842";"1";"8";"0";"6";"0";"0";"0";"76";"16";"45";"26";"172"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"23663";"5";"2";"0";"3";"0";"0";"0";"201";"1";"129";"3";"359"
"2259990 CENTRO MUNICIPAL DE SAUDE DE SERAFINA CORREA";"2946";"0";"0";"0";"0";"0";"0";"0";"113";"2";"46";"0";"167"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"903";"0";"0";"0";"0";"0";"0";"4";"48";"20";"6";"0";"78"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"11884";"4";"84";"75";"405";"2";"0";"0";"180";"23";"58";"33";"311"
"2262835 SEG SERVICO ESPEC DE GINECOLOGIA SS";"29492";"20";"28";"16";"8";"6";"4";"44";"836";"36";"232";"48";"1244"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"1373";"1";"0";"2";"16";"0";"0";"0";"70";"6";"26";"14";"116"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"5313";"3";"2";"0";"2";"0";"0";"0";"109";"9";"46";"3";"170"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"21842";"13";"3";"0";"1";"0";"0";"0";"114";"1";"67";"0";"189"
"3508528 HOSPITAL UNIVERSITARIO";"85703";"31";"55";"141";"45";"53";"4";"35";"4603";"296";"1193";"371";"7195"
"3513416 LABORATORIO EDELWEISS LTDA";"57693";"29";"26";"12";"92";"24";"0";"6";"819";"93";"285";"115";"1471"
"3691314 LABORATORIO DE CITOPATOLOGIA";"5217";"4";"0";"0";"1";"0";"0";"0";"101";"20";"96";"14";"237"
"3771016 DIAGNOSE";"12018";"4";"4";"8";"5";"0";"0";"1";"264";"42";"92";"38";"440"
"3971945 LABORATORIO DIAGNOSTIKA";"3174";"2";"11";"0";"0";"0";"0";"0";"8";"13";"31";"14";"68"
"5210917 BIOANALISE WM";"3803";"3";"0";"0";"9";"8";"0";"0";"49";"14";"19";"8";"100"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"89572";"39";"34";"14";"81";"4";"6";"30";"1190";"185";"382";"137";"2135"
"5327776 CENTRO DE ESPECIALIDADES MUNICIPAL";"16848";"34";"34";"8";"10";"2";"0";"212";"358";"44";"214";"78";"743"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"21348";"42";"3";"3";"57";"0";"0";"2";"279";"93";"129";"62";"568"
"5362423 BIOCITO";"8888";"49";"12";"16";"11";"0";"2";"0";"111";"42";"21";"23";"202"
"5610699 LABORATORIO SANTA HELENA LTDA";"9610";"2";"4";"0";"2";"0";"0";"0";"90";"4";"12";"0";"110"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"15805";"1";"0";"0";"0";"0";"0";"0";"111";"3";"71";"6";"200"
"5851009 ICAP";"17761";"1";"0";"0";"0";"0";"0";"2";"355";"144";"221";"93";"821"
